gender,agegroup,crude,province,year
M,35-50,7.2,oost-vlaanderen,2004
M,45-60,1.7,oost-vlaanderen,2004
M,55-70,3.9,oost-vlaanderen,2004
M,65-80,4.2,oost-vlaanderen,2004
M,75+,11.6,oost-vlaanderen,2004
M,T,4.8,oost-vlaanderen,2004
F,15-30,2.4,oost-vlaanderen,2004
F,25-40,4,oost-vlaanderen,2004
F,35-50,9.7,oost-vlaanderen,2004
F,45-60,7.7,oost-vlaanderen,2004
F,55-70,7,oost-vlaanderen,2004
F,65-80,18.6,oost-vlaanderen,2004
F,75+,15,oost-vlaanderen,2004
F,T,8.6,oost-vlaanderen,2004
T,T,6.7,oost-vlaanderen,2004
M,15-30,1.1,limburg,2004
M,25-40,3.8,limburg,2004
M,35-50,6.3,limburg,2004
M,45-60,2.7,limburg,2004
M,55-70,11.8,limburg,2004
M,65-80,7.4,limburg,2004
M,75+,8.3,limburg,2004
M,T,5.2,limburg,2004
F,15-30,3.8,limburg,2004
F,25-40,15.1,limburg,2004
F,35-50,5,limburg,2004
F,45-60,6.3,limburg,2004
F,55-70,7.4,limburg,2004
F,65-80,7.7,limburg,2004
F,75+,13.2,limburg,2004
F,T,7.8,limburg,2004
T,T,6.5,limburg,2004
M,15-31,5.1,brussels,2004
M,25-41,4.1,brussels,2004
M,35-51,11.3,brussels,2004
M,45-61,5.7,brussels,2004
M,55-71,6.3,brussels,2004
M,65-81,7.7,brussels,2004
M,75+,10.5,brussels,2004
M,T,7,brussels,2004
T,T,6.1,brussels,2004
F,15-31,9,brussels,2004
F,25-41,10.1,brussels,2004
F,35-51,17.5,brussels,2004
F,45-61,10.5,brussels,2004
F,55-71,10.3,brussels,2004
F,65-81,24.2,brussels,2004
F,75+,11.8,brussels,2004
F,T,9.5,brussels,2004
M,15-31,0,Brabant Wallon,2004
M,25-41,0,Brabant Wallon,2004
M,35-51,2.1,Brabant Wallon,2004
M,45-61,13.3,Brabant Wallon,2004
M,55-71,4.3,Brabant Wallon,2004
M,65-81,1.4,Brabant Wallon,2004
M,75+,7.8,Brabant Wallon,2004
M,T,4.6,Brabant Wallon,2004
F,T,0,Brabant Wallon,2004
F,15-31,19,Brabant Wallon,2004
F,25-41,0.9,Brabant Wallon,2004
F,35-51,0,Brabant Wallon,2004
F,45-61,14.7,Brabant Wallon,2004
F,55-71,29.8,Brabant Wallon,2004
F,65-81,10.7,Brabant Wallon,2004
F,75+,8.7,Brabant Wallon,2004
T,T,6.8,Brabant Wallon,2004
M,15-31,3.2,hainout,2004
M,25-41,9.7,hainout,2004
M,35-51,8.7,hainout,2004
M,45-61,14.1,hainout,2004
M,55-71,4.7,hainout,2004
M,65-81,7.8,hainout,2004
M,75+,13,hainout,2004
M,T,8.9,hainout,2004
F,15-31,7.8,hainout,2004
F,25-41,7.1,hainout,2004
F,35-51,18.8,hainout,2004
F,45-61,12.6,hainout,2004
F,55-71,10.9,hainout,2004
F,65-81,13.2,hainout,2004
F,75+,20.6,hainout,2004
F,T,12.7,hainout,2004
T,T,10.9,hainout,2004
M,15-31,0,Liege,2004
M,25-41,1.3,Liege,2004
M,35-51,6.9,Liege,2004
M,45-61,2.5,Liege,2004
M,55-71,10.6,Liege,2004
M,65-81,5.1,Liege,2004
M,75+,3,Liege,2004
M,T,4.1,Liege,2004
T,15-31,4.9,Liege,2004
F,25-41,10.6,Liege,2004
