name, year, amount, age, gender
Luxembourg,2017,1885,18,M
Luxembourg,2017,3638,18,T
Namur,2017,3029,18,F
Namur,2017,3081,18,M
Namur,2017,6110,18,T
Bruxelles,2017,6516,19,F
Bruxelles,2017,6930,19,M
Bruxelles,2017,13446,19,T
Antwerpen,2017,9968,19,F
Antwerpen,2017,10237,19,M
Antwerpen,2017,20205,19,T
Limburg,2017,4618,19,F
Limburg,2017,4916,19,M
Limburg,2017,9534,19,T
Oost_Vlaanderen,2017,8163,19,F
Oost_Vlaanderen,2017,8499,19,M
Oost_Vlaanderen,2017,16662,19,T
Vlaams_Brabant,2017,6363,19,F
Vlaams_Brabant,2017,6520,19,M
Vlaams_Brabant,2017,12883,19,T
West_Vlaanderen,2017,6199,19,F
West_Vlaanderen,2017,6757,19,M
West_Vlaanderen,2017,12956,19,T
Brabant_Wallon,2017,2497,19,F
Brabant_Wallon,2017,2629,19,M
Brabant_Wallon,2017,5126,19,T
Hainaut,2017,7802,19,F
Hainaut,2017,8095,19,M
Hainaut,2017,15897,19,T
Liege,2017,6426,19,F
Liege,2017,6621,19,M
Liege,2017,13047,19,T
Luxembourg,2017,1734,19,F
Luxembourg,2017,1908,19,M
Luxembourg,2017,3642,19,T
Namur,2017,2930,19,F
Namur,2017,3129,19,M
Namur,2017,6059,19,T
Bruxelles,2017,6914,20,F
Bruxelles,2017,6946,20,M
Bruxelles,2017,13860,20,T
Antwerpen,2017,9910,20,F
Antwerpen,2017,10487,20,M
Antwerpen,2017,20397,20,T
Limburg,2017,4512,20,F
Limburg,2017,4898,20,M
Limburg,2017,9410,20,T
Oost_Vlaanderen,2017,8079,20,F
Oost_Vlaanderen,2017,8501,20,M
Oost_Vlaanderen,2017,16580,20,T
Vlaams_Brabant,2017,6443,20,F
Vlaams_Brabant,2017,6591,20,M
Vlaams_Brabant,2017,13034,20,T
West_Vlaanderen,2017,6509,20,F
West_Vlaanderen,2017,6779,20,M
West_Vlaanderen,2017,13288,20,T
Brabant_Wallon,2017,2556,20,F
Brabant_Wallon,2017,2681,20,M
Brabant_Wallon,2017,5237,20,T
Hainaut,2017,7768,20,F
Hainaut,2017,8260,20,M
Hainaut,2017,16028,20,T
Liege,2017,6542,20,F
Liege,2017,6795,20,M
Liege,2017,13337,20,T
Luxembourg,2017,1763,20,F
Luxembourg,2017,1939,20,M
Luxembourg,2017,3702,20,T
Namur,2017,2982,20,F
Namur,2017,3214,20,M
Namur,2017,6196,20,T
Bruxelles,2017,7178,21,F
Bruxelles,2017,7132,21,M
Bruxelles,2017,14310,21,T
Antwerpen,2017,9982,21,F
Antwerpen,2017,10842,21,M
Antwerpen,2017,20824,21,T
Limburg,2017,4586,21,F
Limburg,2017,4949,21,M
Limburg,2017,9535,21,T
Oost_Vlaanderen,2017,8202,21,F
Oost_Vlaanderen,2017,8379,21,M
Oost_Vlaanderen,2017,16581,21,T
Vlaams_Brabant,2017,6551,21,F
Vlaams_Brabant,2017,6681,21,M
Vlaams_Brabant,2017,13232,21,T
West_Vlaanderen,2017,6439,21,F
West_Vlaanderen,2017,7002,21,M
West_Vlaanderen,2017,13441,21,T
Brabant_Wallon,2017,2458,21,F
Brabant_Wallon,2017,2599,21,M
Brabant_Wallon,2017,5057,21,T
Hainaut,2017,7653,21,F
Hainaut,2017,8082,21,M
Hainaut,2017,15735,21,T
Liege,2017,6505,21,F
Liege,2017,6767,21,M
Liege,2017,13272,21,T
Luxembourg,2017,1691,21,F
Luxembourg,2017,1919,21,M
Luxembourg,2017,3610,21,T
Namur,2017,2902,21,F
